word,count
"arm",4
"dem""@nigerianewsdesk:",1
"yorubas",9
"feel",21
"protected",10
"opc",12
"dan",7
"conventional",9
"police",4059
"–",72
"mimiko",10
"https://t.co/r6sngs2skf…",1
"http://t.co/brba5xbc6s""",1
"""behind",1
"great",26
"black",50
"man",269
"is.....the",1
"police""",12
"florida",374
"arrest",425
"woman",413
"sought",380
"allegedly",400
"riding",376
"sea",376
"turtles",352
"http://t.co/hc6oqiq7pz",135
"http://t.co/pdbbjtwdf1",135
"baltimore",121
"paid",18
"“almost",18
"$6",18
"million",20
"brutality",74
"settlements",19
"years.",19
"dirait",2
"la",82
"de",81
"foot",8
"rue",2
"http://t.co/aiiip9yjhv",2
"execution",101
"#jeremymcdole.",102
"appeared",101
"ambulance.",101
"firing",106
"squad.",101
"part",112
"3.",75
"http://t.co/q…",73
"good",31
"order",11
"!!!",8
"

~~~~~~~~~~

spek",3
":

police",3
"hd",4
"silver",7
"black…",2
"https://t.co/mff6r2blbb",1
"""this",34
"murder.",33
"shot",212
"son",42
"roadkill.""",33
"http://t.co/gup9n9ej9v",30
"http://t.co/wiwm8zyk48",30
"paralyzed",18
"waist",8
"down

wheelchair-bound

unarmed",8
"

in",8
"medical",71
"attention",8
"

and",8
"black

so",8
"murdered",12
"

#jere…",8
"delhi",63
"station",86
"schooling",40
"lost,",40
"abandoned",40
"kids",41
"http://t.co/zzdmewbxgb",25
"http://t.co/lxykszghur",25
"100%",6
"fact",3
"

brutal",2
"murder",47
"indian",5
"men",41
"courts,",4
"police,",101
"media,",2
"society",5
"&amp;",197
"politicians",2
"

@dtptraffic",2
"
#scrap498a",2
"https:…",3
"daughter,",22
"cab",29
"driver",45
"male",28
"offrs",22
"bris",21
"night

she",21
"angry",30
"sad

i'm",21
"outraged

#auspol",21
"http:/…",57
"http://t.co/fsivbjuk3g",3
"article",4
"jumped",5
"incorrect",1
"conclusions.",1
"dv",5
"prevalent",1
"wealthier",1
"families,",1
"rarely",1
"reported",10
"police.",117
"#rt",15
"svp",15
"merci",15
"#morgan_15ans_disparu",15
"#var",15
"dep",15
"16-09

témoins",15
"tél",15
"04.94.39.44.00

http://t.co/sudzkkiucu",15
"http://t.c…",31
"update",4
"—",22
"police:",197
"boaters",1
"forced",3
"swim",1
"shea",1
"island",59
"rescued",1
"marine",2
"unit",5
"http://t.co/l4fcyewnvt",1
"in:",12
"palma",10
"east",11
"brookhurst",9
"shut",17
"2-3",9
"hours",17
"pursuit",11
"ends",19
"crash,",9
"anaheim",10
"threadrock",1
"baby",4
"boys\'",1
"proud",6
"officer",198
"infant",4
"bodysuit",1
"http://t.co/zunhdblprh",1
"http://t.co/ocfzfutett",1
"killed",106
"700",11
"people",100
"year",32
"alone.

meanwhile",8
"uk",33
"http://t.co/x8kcyefaef",8
"boy",37
"charged",52
"hangleton",1
"robbery:",1
"http://t.co/iznuc1ujqh",1
"clash",27
"palestinians",30
"temple",80
"mount",51
"fresh",25
"violence",20
"http://t.co/ojjy1bhdvs",1
"#jeremymcdole",66
"10",28
"times",25
"wheelchair",95
"bound.",8
"#blacklivesmatter",41
"http://t.co/lhixwei825",8
"investigating,",2
"gun",29
"family",15
"denying",2
"handicapé",6
"noir",6
"qui",6
"avait",2
"besoin",2
"d'une",2
"ambulance",11
"abattu",6
"exécuté",2
"par",23
"#usa",20
"#us",19
"http://t.co/dd3kivoizo",2
"…",71
"body",11
"demi",4
"lovato",4
"""fat""",4
"""curvy"",",4
"stop",37
"thinking",5
"cute",5
"cla…",5
"#breaking:",71
"#jerusalem:",6
"#palestinian-s",6
"threw",9
"rocks",28
"fireworks",7
"#alaqsa",7
"mosque.",5
"http://t.co/rgss1otxe1",5
"read",22
"i24news",1
"""police",14
"shooting",183
"sparks",21
"controversy",20
"us""
",1
"http://t.co/plpef92lho",2
"fuck",58
"passport",2
"18",5
"days",19
"(normal",1
"application),inclu",1
"verification.very",1
"professional",4
